8789,PG0243,2021-02-14 17:55:00+00,2021-02-15 00:20:00+00,LED,YKS,Cancelled,319,,true,true,350.00,750.00
2353,PG0208,2021-02-14 17:40:00+00,2021-02-15 01:40:00+00,DME,KHV,Scheduled,763,,true,true,350.00,750.00
30431,PG0161,2021-02-14 17:20:00+00,2021-02-14 17:50:00+00,BZK,SVO,Scheduled,SU9,,true,true,350.00,750.00
30760,PG0487,2021-02-14 17:10:00+00,2021-02-14 17:45:00+00,AER,ROV,Scheduled,SU9,,true,true,350.00,750.00
1263,PG0168,2021-02-14 17:05:00+00,2021-02-15 01:55:00+00,DME,UUS,Cancelled,319,,true,true,350.00,750.00
3106,PG0118,2021-02-14 16:55:00+00,2021-02-14 17:40:00+00,DME,EGO,Cancelled,SU9,,true,true,350.00,750.00
25655,PG0107,2021-02-14 16:55:00+00,2021-02-14 17:50:00+00,ULV,VKO,Cancelled,SU9,,true,true,350.00,750.00
4543,PG0235,2021-02-14 16:50:00+00,2021-02-14 17:15:00+00,VKO,BZK,Cancelled,SU9,,true,true,350.00,750.00
15208,PG0417,2021-02-14 16:50:00+00,2021-02-14 17:25:00+00,VOZ,DME,Cancelled,CR2,,true,true,350.00,750.00
30074,PG0386,2021-02-14 16:45:00+00,2021-02-14 17:15:00+00,BZK,DME,Scheduled,SU9,,true,true,350.00,750.00
29991,PG0385,2021-02-14 16:30:00+00,2021-02-14 17:00:00+00,BZK,DME,Scheduled,SU9,,true,true,350.00,750.00
7698,PG0158,2021-02-14 16:30:00+00,2021-02-14 17:00:00+00,SVO,BZK,Scheduled,SU9,,true,true,350.00,750.00
16249,PG0342,2021-02-14 16:25:00+00,2021-02-14 17:30:00+00,PES,DME,Cancelled,CR2,,true,true,350.00,750.00
33099,PG0063,2021-02-14 16:25:00+00,2021-02-14 17:10:00+00,SKX,SVO,Cancelled,CR2,,true,true,350.00,750.00
652,PG0416,2021-02-14 16:20:00+00,2021-02-14 16:55:00+00,DME,VOZ,Cancelled,CR2,,true,true,350.00,750.00
521,PG0213,2021-02-14 16:20:00+00,2021-02-14 17:35:00+00,DME,ROV,Scheduled,321,,true,true,350.00,750.00
4223,PG0200,2021-02-14 16:20:00+00,2021-02-15 00:45:00+00,VKO,VVO,Scheduled,763,,true,true,350.00,750.00
28556,PG0638,2021-02-14 16:15:00+00,2021-02-14 17:15:00+00,KVX,SVO,Cancelled,SU9,,true,true,350.00,750.00
20485,PG0572,2021-02-14 16:10:00+00,2021-02-14 17:20:00+00,GOJ,LED,Scheduled,SU9,,true,true,350.00,750.00
15288,PG0397,2021-02-14 16:10:00+00,2021-02-14 17:20:00+00,VOG,VKO,Scheduled,SU9,,true,true,350.00,750.00
9345,PG0356,2021-02-14 16:10:00+00,2021-02-15 00:15:00+00,LED,KHV,Scheduled,763,,true,true,350.00,750.00
20380,PG0181,2021-02-14 16:05:00+00,2021-02-14 16:35:00+00,GOJ,SVO,Scheduled,SU9,,true,true,350.00,750.00
80,PG0404,2021-02-14 16:05:00+00,2021-02-14 17:00:00+00,DME,LED,Scheduled,321,,true,true,350.00,750.00
8145,PG0406,2021-02-14 16:00:00+00,2021-02-14 16:55:00+00,LED,DME,Scheduled,321,,true,true,350.00,750.00
30432,PG0162,2021-02-14 16:00:00+00,2021-02-14 16:30:00+00,BZK,SVO,Scheduled,SU9,,true,true,350.00,750.00
26007,PG0284,2021-02-14 16:00:00+00,2021-02-14 17:05:00+00,ULY,SVO,Cancelled,CR2,,true,true,350.00,750.00
4176,PG0106,2021-02-14 15:55:00+00,2021-02-14 16:50:00+00,VKO,ULV,Scheduled,SU9,,true,true,350.00,750.00
14565,PG0413,2021-02-14 15:55:00+00,2021-02-14 17:20:00+00,PEE,VKO,Scheduled,773,,true,true,350.00,750.00
15267,PG0133,2021-02-14 15:55:00+00,2021-02-14 17:25:00+00,VOZ,LED,Cancelled,CR2,,true,true,350.00,750.00
16120,PG0046,2021-02-14 15:50:00+00,2021-02-14 17:55:00+00,GRV,DME,Cancelled,CR2,,true,true,350.00,750.00
12166,PG0184,2021-02-14 15:50:00+00,2021-02-14 17:40:00+00,CEK,VOG,Cancelled,SU9,,true,true,350.00,750.00
11895,PG0525,2021-02-14 15:45:00+00,2021-02-14 17:45:00+00,KZN,MCX,Cancelled,CR2,,true,true,350.00,750.00
29569,PG0067,2021-02-14 15:45:00+00,2021-02-14 17:30:00+00,STW,SVO,Scheduled,CR2,,true,true,350.00,750.00
7264,PG0513,2021-02-14 15:40:00+00,2021-02-14 17:35:00+00,SVO,PEZ,Scheduled,CN1,,true,true,350.00,750.00
2311,PG0605,2021-02-14 15:40:00+00,2021-02-14 16:35:00+00,DME,ULV,Cancelled,SU9,,true,true,350.00,750.00
5115,PG0471,2021-02-14 15:40:00+00,2021-02-14 16:30:00+00,SVO,LED,Scheduled,321,,true,true,350.00,750.00
4444,PG0448,2021-02-14 15:30:00+00,2021-02-14 17:15:00+00,VKO,STW,Cancelled,CR2,,true,true,350.00,750.00
5116,PG0472,2021-02-14 15:30:00+00,2021-02-14 16:20:00+00,SVO,LED,Scheduled,321,,true,true,350.00,750.00
9812,PG0078,2021-02-14 15:25:00+00,2021-02-14 16:50:00+00,LED,CEE,Cancelled,CN1,,true,true,350.00,750.00
26779,PG0437,2021-02-14 15:25:00+00,2021-02-14 17:25:00+00,IAR,LED,Cancelled,CN1,,true,true,350.00,750.00
529,PG0212,2021-02-14 15:20:00+00,2021-02-14 16:35:00+00,DME,ROV,Scheduled,321,,true,true,350.00,750.00
8593,PG0477,2021-02-14 15:20:00+00,2021-02-14 16:10:00+00,LED,SVO,Scheduled,321,,true,true,350.00,750.00
12868,PG0215,2021-02-14 15:15:00+00,2021-02-14 16:30:00+00,ROV,DME,Scheduled,321,,true,true,350.00,750.00
30616,PG0013,2021-02-14 15:15:00+00,2021-02-14 17:00:00+00,AER,SVO,Scheduled,773,,true,true,350.00,750.00
32632,PG0668,2021-02-14 15:10:00+00,2021-02-14 17:40:00+00,KRO,SVO,Cancelled,CR2,,true,true,350.00,750.00
2028,PG0019,2021-02-14 15:10:00+00,2021-02-14 16:30:00+00,DME,UUA,Cancelled,CR2,,true,true,350.00,750.00
17723,PG0253,2021-02-14 15:10:00+00,2021-02-14 15:35:00+00,NBC,CSY,Cancelled,CR2,,true,true,350.00,750.00
15965,PG0057,2021-02-14 15:10:00+00,2021-02-14 16:25:00+00,TBW,DME,Cancelled,CN1,,true,true,350.00,750.00
2158,PG0220,2021-02-14 15:05:00+00,2021-02-14 16:35:00+00,DME,KRR,Scheduled,763,,true,true,350.00,750.00
6374,PG0251,2021-02-14 15:05:00+00,2021-02-14 16:45:00+00,SVO,AAQ,Scheduled,733,,true,true,350.00,750.00
19274,PG0510,2021-02-14 15:00:00+00,2021-02-14 16:30:00+00,ESL,DME,Scheduled,SU9,,true,true,350.00,750.00
1535,PG0210,2021-02-14 15:00:00+00,2021-02-14 16:50:00+00,DME,MRV,Scheduled,733,,true,true,350.00,750.00
31169,PG0560,2021-02-14 15:00:00+00,2021-02-14 16:25:00+00,EGO,ROV,Cancelled,CN1,,true,true,350.00,750.00
24124,PG0221,2021-02-14 14:55:00+00,2021-02-14 16:25:00+00,KRR,DME,Scheduled,763,,true,true,350.00,750.00
17570,PG0060,2021-02-14 14:50:00+00,2021-02-14 17:10:00+00,NBC,SCW,Scheduled,CN1,,true,true,350.00,750.00
14709,PG0590,2021-02-14 14:50:00+00,2021-02-14 15:15:00+00,PEE,SVX,Cancelled,SU9,,true,true,350.00,750.00
11564,PG0203,2021-02-14 14:45:00+00,2021-02-14 15:40:00+00,KZN,DME,Cancelled,321,,true,true,350.00,750.00
1316,PG0144,2021-02-14 14:45:00+00,2021-02-14 23:35:00+00,DME,PKC,Cancelled,763,,true,true,350.00,750.00
8706,PG0507,2021-02-14 14:45:00+00,2021-02-14 16:25:00+00,LED,KZN,Scheduled,SU9,,true,true,350.00,750.00
9793,PG0077,2021-02-14 14:45:00+00,2021-02-14 16:10:00+00,LED,CEE,Scheduled,CN1,,true,true,350.00,750.00
5672,PG0152,2021-02-14 14:45:00+00,2021-02-14 16:40:00+00,SVO,MMK,Cancelled,SU9,,true,true,350.00,750.00
16525,PG0293,2021-02-14 14:30:00+00,2021-02-14 17:10:00+00,PES,KLF,Cancelled,CN1,,true,true,350.00,750.00
2011,PG0289,2021-02-14 14:25:00+00,2021-02-14 17:10:00+00,DME,VKT,Cancelled,CR2,,true,true,350.00,750.00
11917,PG0039,2021-02-14 14:25:00+00,2021-02-14 14:50:00+00,KZN,KVX,Cancelled,SU9,,true,true,350.00,750.00
